% Amazon CloudFront Locations		
Ashburn VA	-77.487442	39.043758
Fort Worth TX	-97.320847	32.72541
Jacksonville FL	-81.655647	30.332184
Los Angeles CA	-118.243683	34.052235
Miami FL	-80.22644	25.788969
Newark NJ	-74.172363	40.735657
Palo Alto CA	-122.143021	37.441883
San Jose CA	-121.894958	37.339386
Seattle WA	-122.332069	47.606209
South Bend IN	-86.250008	41.68338
St Louis MO	-90.199402	38.627003
Amsterdam	4.895168	52.370216
Dublin	-6.267494	53.344105
Frankfurt	8.682127	50.110924
London	-0.128005	51.508129
Paris	2.352222	48.856613
Stockholm	18.064911	59.32893
Hong Kong	114.203384	22.24786
Osaka	135.502167	34.693737
Singapore	103.989098	1.3568
Tokyo	139.691711	35.689487
Ṣo Paulo	-46.638817	-23.548943
